ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
60,24,190,139,58,10.26136529,56.24203279,07/08/2014 06:55
61,22,185,144,53,10.26136529,56.24203279,07/08/2014 07:00
64,21,188,149,54,10.26136529,56.24203279,07/08/2014 07:05
62,17,191,152,56,10.26136529,56.24203279,07/08/2014 07:10
59,19,187,150,61,10.26136529,56.24203279,07/08/2014 07:15
61,27,186,150,62,10.26136529,56.24203279,07/08/2014 07:20
56,29,186,152,64,10.26136529,56.24203279,07/08/2014 07:25
59,26,189,154,61,10.26136529,56.24203279,07/08/2014 07:30
58,25,187,149,58,10.26136529,56.24203279,07/08/2014 07:35
53,27,190,149,60,10.26136529,56.24203279,07/08/2014 07:40
49,27,193,146,62,10.26136529,56.24203279,07/08/2014 07:45
47,28,195,144,60,10.26136529,56.24203279,07/08/2014 07:50
50,26,194,147,61,10.26136529,56.24203279,07/08/2014 07:55
47,24,190,142,60,10.26136529,56.24203279,07/08/2014 08:00
47,24,191,143,62,10.26136529,56.24203279,07/08/2014 08:05
44,24,188,138,62,10.26136529,56.24203279,07/08/2014 08:10
40,29,184,138,62,10.26136529,56.24203279,07/08/2014 08:15
42,32,186,135,57,10.26136529,56.24203279,07/08/2014 08:20
40,30,184,137,52,10.26136529,56.24203279,07/08/2014 08:25
43,26,183,133,47,10.26136529,56.24203279,07/08/2014 08:30
38,30,179,138,50,10.26136529,56.24203279,07/08/2014 08:35
40,35,178,134,49,10.26136529,56.24203279,07/08/2014 08:40
44,33,179,136,53,10.26136529,56.24203279,07/08/2014 08:45
46,36,182,136,58,10.26136529,56.24203279,07/08/2014 08:50
50,31,186,138,58,10.26136529,56.24203279,07/08/2014 08:55
46,34,185,138,57,10.26136529,56.24203279,07/08/2014 09:00
44,37,189,137,58,10.26136529,56.24203279,07/08/2014 09:05
46,37,194,137,56,10.26136529,56.24203279,07/08/2014 09:10
51,35,192,139,54,10.26136529,56.24203279,07/08/2014 09:15
53,38,192,134,59,10.26136529,56.24203279,07/08/2014 09:20
48,39,190,134,55,10.26136529,56.24203279,07/08/2014 09:25
52,36,189,131,57,10.26136529,56.24203279,07/08/2014 09:30
47,33,185,129,53,10.26136529,56.24203279,07/08/2014 09:35
46,29,185,131,55,10.26136529,56.24203279,07/08/2014 09:40
43,24,187,132,51,10.26136529,56.24203279,07/08/2014 09:45
42,28,183,132,52,10.26136529,56.24203279,07/08/2014 09:50
47,24,187,134,54,10.26136529,56.24203279,07/08/2014 09:55
45,28,182,129,58,10.26136529,56.24203279,07/08/2014 10:00
41,30,180,133,57,10.26136529,56.24203279,07/08/2014 10:05
36,32,179,138,57,10.26136529,56.24203279,07/08/2014 10:10
31,30,174,142,60,10.26136529,56.24203279,07/08/2014 10:15
32,28,178,143,57,10.26136529,56.24203279,07/08/2014 10:20
34,25,181,138,61,10.26136529,56.24203279,07/08/2014 10:25
34,27,184,142,61,10.26136529,56.24203279,07/08/2014 10:30
39,27,184,139,57,10.26136529,56.24203279,07/08/2014 10:35
40,24,184,144,57,10.26136529,56.24203279,07/08/2014 10:40
37,22,182,146,60,10.26136529,56.24203279,07/08/2014 10:45
40,25,186,142,57,10.26136529,56.24203279,07/08/2014 10:50
43,24,182,147,54,10.26136529,56.24203279,07/08/2014 10:55
44,29,177,150,57,10.26136529,56.24203279,07/08/2014 11:00
41,30,173,152,54,10.26136529,56.24203279,07/08/2014 11:05
36,31,170,149,53,10.26136529,56.24203279,07/08/2014 11:10
38,33,173,153,53,10.26136529,56.24203279,07/08/2014 11:15
36,30,177,148,49,10.26136529,56.24203279,07/08/2014 11:20
39,35,173,146,54,10.26136529,56.24203279,07/08/2014 11:25
44,34,170,151,50,10.26136529,56.24203279,07/08/2014 11:30
39,39,172,150,53,10.26136529,56.24203279,07/08/2014 11:35
35,41,168,146,50,10.26136529,56.24203279,07/08/2014 11:40
40,37,163,148,50,10.26136529,56.24203279,07/08/2014 11:45
35,42,163,146,54,10.26136529,56.24203279,07/08/2014 11:50
36,39,163,151,54,10.26136529,56.24203279,07/08/2014 11:55
31,37,167,148,55,10.26136529,56.24203279,07/08/2014 12:00
28,34,168,147,55,10.26136529,56.24203279,07/08/2014 12:05
29,29,171,147,57,10.26136529,56.24203279,07/08/2014 12:10
34,34,175,149,57,10.26136529,56.24203279,07/08/2014 12:15
31,37,173,144,58,10.26136529,56.24203279,07/08/2014 12:20
34,32,177,149,57,10.26136529,56.24203279,07/08/2014 12:25
34,35,175,148,57,10.26136529,56.24203279,07/08/2014 12:30
32,39,174,143,58,10.26136529,56.24203279,07/08/2014 12:35
28,36,172,142,55,10.26136529,56.24203279,07/08/2014 12:40
31,39,174,142,50,10.26136529,56.24203279,07/08/2014 12:45
33,41,174,138,54,10.26136529,56.24203279,07/08/2014 12:50
38,42,170,134,51,10.26136529,56.24203279,07/08/2014 12:55
39,44,170,134,53,10.26136529,56.24203279,07/08/2014 13:00
36,41,174,137,55,10.26136529,56.24203279,07/08/2014 13:05
39,46,173,135,58,10.26136529,56.24203279,07/08/2014 13:10
43,45,171,138,53,10.26136529,56.24203279,07/08/2014 13:15
48,44,169,143,52,10.26136529,56.24203279,07/08/2014 13:20
45,46,170,148,52,10.26136529,56.24203279,07/08/2014 13:25
48,43,169,146,51,10.26136529,56.24203279,07/08/2014 13:30
47,38,165,149,51,10.26136529,56.24203279,07/08/2014 13:35
43,38,170,148,55,10.26136529,56.24203279,07/08/2014 13:40
46,35,169,145,58,10.26136529,56.24203279,07/08/2014 13:45
51,35,172,140,57,10.26136529,56.24203279,07/08/2014 13:50
56,30,173,143,60,10.26136529,56.24203279,07/08/2014 13:55
60,28,173,144,56,10.26136529,56.24203279,07/08/2014 14:00
55,31,175,149,56,10.26136529,56.24203279,07/08/2014 14:05
55,34,179,146,52,10.26136529,56.24203279,07/08/2014 14:10
53,38,182,146,55,10.26136529,56.24203279,07/08/2014 14:15
55,40,178,145,59,10.26136529,56.24203279,07/08/2014 14:20
53,38,173,142,64,10.26136529,56.24203279,07/08/2014 14:25
56,42,178,147,63,10.26136529,56.24203279,07/08/2014 14:30
57,45,177,150,62,10.26136529,56.24203279,07/08/2014 14:35
61,49,172,151,66,10.26136529,56.24203279,07/08/2014 14:40
65,51,171,150,63,10.26136529,56.24203279,07/08/2014 14:45
60,54,166,155,64,10.26136529,56.24203279,07/08/2014 14:50
56,52,163,150,64,10.26136529,56.24203279,07/08/2014 14:55
52,57,158,150,60,10.26136529,56.24203279,07/08/2014 15:00
57,55,159,154,65,10.26136529,56.24203279,07/08/2014 15:05
52,58,164,158,63,10.26136529,56.24203279,07/08/2014 15:10
55,62,167,158,60,10.26136529,56.24203279,07/08/2014 15:15
51,59,172,156,65,10.26136529,56.24203279,07/08/2014 15:20
54,63,173,160,68,10.26136529,56.24203279,07/08/2014 15:25
50,60,177,158,72,10.26136529,56.24203279,07/08/2014 15:30
47,65,172,155,68,10.26136529,56.24203279,07/08/2014 15:35
45,61,172,156,66,10.26136529,56.24203279,07/08/2014 15:40
40,66,170,152,64,10.26136529,56.24203279,07/08/2014 15:45
40,70,175,154,63,10.26136529,56.24203279,07/08/2014 15:50
38,73,177,150,58,10.26136529,56.24203279,07/08/2014 15:55
36,72,181,148,59,10.26136529,56.24203279,07/08/2014 16:00
32,69,181,148,63,10.26136529,56.24203279,07/08/2014 16:05
29,71,176,148,65,10.26136529,56.24203279,07/08/2014 16:10
34,71,173,145,63,10.26136529,56.24203279,07/08/2014 16:15
29,68,172,143,68,10.26136529,56.24203279,07/08/2014 16:20
25,69,177,139,66,10.26136529,56.24203279,07/08/2014 16:25
20,67,179,140,67,10.26136529,56.24203279,07/08/2014 16:30
22,72,179,137,70,10.26136529,56.24203279,07/08/2014 16:35
19,69,176,137,68,10.26136529,56.24203279,07/08/2014 16:40
25,71,178,132,69,10.26136529,56.24203279,07/08/2014 16:45
27,70,176,134,65,10.26136529,56.24203279,07/08/2014 16:50
24,65,177,135,67,10.26136529,56.24203279,07/08/2014 16:55
19,63,173,132,68,10.26136529,56.24203279,07/08/2014 17:00
20,63,175,127,69,10.26136529,56.24203279,07/08/2014 17:05
24,63,170,123,68,10.26136529,56.24203279,07/08/2014 17:10
26,64,168,119,63,10.26136529,56.24203279,07/08/2014 17:15
26,62,163,117,63,10.26136529,56.24203279,07/08/2014 17:20
21,59,159,115,61,10.26136529,56.24203279,07/08/2014 17:25
24,58,156,120,57,10.26136529,56.24203279,07/08/2014 17:30
25,57,159,124,59,10.26136529,56.24203279,07/08/2014 17:35
29,53,160,129,55,10.26136529,56.24203279,07/08/2014 17:40
31,51,155,134,57,10.26136529,56.24203279,07/08/2014 17:45
32,47,151,131,56,10.26136529,56.24203279,07/08/2014 17:50
33,46,154,130,55,10.26136529,56.24203279,07/08/2014 17:55
31,45,156,130,57,10.26136529,56.24203279,07/08/2014 18:00
28,48,156,133,61,10.26136529,56.24203279,07/08/2014 18:05
33,46,153,134,58,10.26136529,56.24203279,07/08/2014 18:10
37,45,157,131,53,10.26136529,56.24203279,07/08/2014 18:15
41,41,157,131,51,10.26136529,56.24203279,07/08/2014 18:20
38,43,153,135,55,10.26136529,56.24203279,07/08/2014 18:25
33,41,154,137,58,10.26136529,56.24203279,07/08/2014 18:30
37,39,154,141,53,10.26136529,56.24203279,07/08/2014 18:35
35,36,158,139,54,10.26136529,56.24203279,07/08/2014 18:40
37,37,160,137,59,10.26136529,56.24203279,07/08/2014 18:45
32,36,164,140,59,10.26136529,56.24203279,07/08/2014 18:50
35,35,159,144,63,10.26136529,56.24203279,07/08/2014 18:55
38,35,161,145,62,10.26136529,56.24203279,07/08/2014 19:00
39,37,164,141,64,10.26136529,56.24203279,07/08/2014 19:05
36,35,164,140,64,10.26136529,56.24203279,07/08/2014 19:10
34,30,161,137,62,10.26136529,56.24203279,07/08/2014 19:15
30,27,165,141,67,10.26136529,56.24203279,07/08/2014 19:20
25,30,166,141,62,10.26136529,56.24203279,07/08/2014 19:25
22,25,165,143,61,10.26136529,56.24203279,07/08/2014 19:30
22,26,161,138,64,10.26136529,56.24203279,07/08/2014 19:35
19,24,162,136,67,10.26136529,56.24203279,07/08/2014 19:40
21,23,160,141,64,10.26136529,56.24203279,07/08/2014 19:45
25,23,158,145,59,10.26136529,56.24203279,07/08/2014 19:50
23,21,153,147,61,10.26136529,56.24203279,07/08/2014 19:55
22,26,158,147,65,10.26136529,56.24203279,07/08/2014 20:00
17,27,154,146,69,10.26136529,56.24203279,07/08/2014 20:05
23,32,154,151,65,10.26136529,56.24203279,07/08/2014 20:10
21,35,155,153,61,10.26136529,56.24203279,07/08/2014 20:15
17,38,154,158,58,10.26136529,56.24203279,07/08/2014 20:20
24,35,159,160,61,10.26136529,56.24203279,07/08/2014 20:25
28,34,158,163,61,10.26136529,56.24203279,07/08/2014 20:30
30,35,159,164,60,10.26136529,56.24203279,07/08/2014 20:35
28,36,154,168,56,10.26136529,56.24203279,07/08/2014 20:40
29,31,154,166,53,10.26136529,56.24203279,07/08/2014 20:45
28,27,151,161,54,10.26136529,56.24203279,07/08/2014 20:50
27,22,156,163,59,10.26136529,56.24203279,07/08/2014 20:55
30,19,159,165,61,10.26136529,56.24203279,07/08/2014 21:00
25,29,154,164,63,10.26136529,56.24203279,07/08/2014 21:05
28,34,152,164,65,10.26136529,56.24203279,07/08/2014 21:10
23,29,154,164,68,10.26136529,56.24203279,07/08/2014 21:15
23,33,149,169,73,10.26136529,56.24203279,07/08/2014 21:20
21,36,152,165,70,10.26136529,56.24203279,07/08/2014 21:25
19,39,147,164,70,10.26136529,56.24203279,07/08/2014 21:30
26,42,143,160,72,10.26136529,56.24203279,07/08/2014 21:35
25,44,138,165,74,10.26136529,56.24203279,07/08/2014 21:40
21,47,138,164,73,10.26136529,56.24203279,07/08/2014 21:45
24,51,142,167,74,10.26136529,56.24203279,07/08/2014 21:50
21,56,138,162,75,10.26136529,56.24203279,07/08/2014 21:55
22,54,141,158,73,10.26136529,56.24203279,07/08/2014 22:00
17,53,142,160,77,10.26136529,56.24203279,07/08/2014 22:05
25,49,143,162,77,10.26136529,56.24203279,07/08/2014 22:10
20,54,142,163,77,10.26136529,56.24203279,07/08/2014 22:15
16,54,139,166,74,10.26136529,56.24203279,07/08/2014 22:20
21,49,134,163,79,10.26136529,56.24203279,07/08/2014 22:25
25,49,138,158,79,10.26136529,56.24203279,07/08/2014 22:30
28,48,140,163,79,10.26136529,56.24203279,07/08/2014 22:35
25,48,136,163,81,10.26136529,56.24203279,07/08/2014 22:40
29,51,137,158,82,10.26136529,56.24203279,07/08/2014 22:45
28,52,134,162,86,10.26136529,56.24203279,07/08/2014 22:50
26,51,139,162,87,10.26136529,56.24203279,07/08/2014 22:55
27,56,140,160,90,10.26136529,56.24203279,07/08/2014 23:00
29,58,143,159,87,10.26136529,56.24203279,07/08/2014 23:05
32,59,148,155,88,10.26136529,56.24203279,07/08/2014 23:10
32,58,152,159,83,10.26136529,56.24203279,07/08/2014 23:15
33,58,149,159,78,10.26136529,56.24203279,07/08/2014 23:20
33,58,148,159,83,10.26136529,56.24203279,07/08/2014 23:25
33,61,148,157,82,10.26136529,56.24203279,07/08/2014 23:30
31,63,143,156,77,10.26136529,56.24203279,07/08/2014 23:35
30,65,143,160,75,10.26136529,56.24203279,07/08/2014 23:40
35,60,144,164,70,10.26136529,56.24203279,07/08/2014 23:45
35,64,144,161,71,10.26136529,56.24203279,07/08/2014 23:50
39,60,139,158,70,10.26136529,56.24203279,07/08/2014 23:55
39,65,143,157,70,10.26136529,56.24203279,08/08/2014 00:00
43,66,141,161,71,10.26136529,56.24203279,08/08/2014 00:05
48,66,142,158,75,10.26136529,56.24203279,08/08/2014 00:10
50,64,144,153,75,10.26136529,56.24203279,08/08/2014 00:15
48,62,147,151,70,10.26136529,56.24203279,08/08/2014 00:20
51,61,143,149,75,10.26136529,56.24203279,08/08/2014 00:25
46,64,146,149,73,10.26136529,56.24203279,08/08/2014 00:30
43,60,148,154,78,10.26136529,56.24203279,08/08/2014 00:35
38,56,145,156,83,10.26136529,56.24203279,08/08/2014 00:40
38,58,140,159,81,10.26136529,56.24203279,08/08/2014 00:45
38,57,137,154,82,10.26136529,56.24203279,08/08/2014 00:50
43,52,142,152,77,10.26136529,56.24203279,08/08/2014 00:55
38,49,141,155,77,10.26136529,56.24203279,08/08/2014 01:00
39,44,139,154,76,10.26136529,56.24203279,08/08/2014 01:05
34,42,143,156,71,10.26136529,56.24203279,08/08/2014 01:10
39,42,139,152,72,10.26136529,56.24203279,08/08/2014 01:15
35,42,141,152,76,10.26136529,56.24203279,08/08/2014 01:20
34,43,144,156,77,10.26136529,56.24203279,08/08/2014 01:25
34,40,140,152,80,10.26136529,56.24203279,08/08/2014 01:30
34,40,143,148,85,10.26136529,56.24203279,08/08/2014 01:35
29,44,146,152,83,10.26136529,56.24203279,08/08/2014 01:40
33,41,150,150,82,10.26136529,56.24203279,08/08/2014 01:45
35,46,145,155,79,10.26136529,56.24203279,08/08/2014 01:50
30,44,141,157,81,10.26136529,56.24203279,08/08/2014 01:55
27,44,143,159,80,10.26136529,56.24203279,08/08/2014 02:00
27,47,142,157,79,10.26136529,56.24203279,08/08/2014 02:05
27,49,139,160,78,10.26136529,56.24203279,08/08/2014 02:10
29,47,138,162,74,10.26136529,56.24203279,08/08/2014 02:15
34,52,136,164,69,10.26136529,56.24203279,08/08/2014 02:20
39,52,135,167,71,10.26136529,56.24203279,08/08/2014 02:25
41,47,138,166,75,10.26136529,56.24203279,08/08/2014 02:30
39,46,143,166,73,10.26136529,56.24203279,08/08/2014 02:35
36,50,140,163,69,10.26136529,56.24203279,08/08/2014 02:40
33,51,135,168,74,10.26136529,56.24203279,08/08/2014 02:45
36,51,136,165,73,10.26136529,56.24203279,08/08/2014 02:50
37,53,138,170,75,10.26136529,56.24203279,08/08/2014 02:55
35,49,141,169,77,10.26136529,56.24203279,08/08/2014 03:00
40,49,141,173,72,10.26136529,56.24203279,08/08/2014 03:05
42,51,137,169,69,10.26136529,56.24203279,08/08/2014 03:10
43,50,138,167,74,10.26136529,56.24203279,08/08/2014 03:15
38,47,139,167,78,10.26136529,56.24203279,08/08/2014 03:20
33,48,138,162,83,10.26136529,56.24203279,08/08/2014 03:25
34,53,140,165,80,10.26136529,56.24203279,08/08/2014 03:30
34,56,145,163,77,10.26136529,56.24203279,08/08/2014 03:35
32,51,141,158,72,10.26136529,56.24203279,08/08/2014 03:40
31,51,142,162,76,10.26136529,56.24203279,08/08/2014 03:45
31,56,143,163,80,10.26136529,56.24203279,08/08/2014 03:50
27,59,140,168,78,10.26136529,56.24203279,08/08/2014 03:55
27,62,137,173,73,10.26136529,56.24203279,08/08/2014 04:00
23,64,132,177,76,10.26136529,56.24203279,08/08/2014 04:05
26,62,133,174,77,10.26136529,56.24203279,08/08/2014 04:10
27,63,137,177,80,10.26136529,56.24203279,08/08/2014 04:15
24,67,133,177,83,10.26136529,56.24203279,08/08/2014 04:20
27,66,132,177,88,10.26136529,56.24203279,08/08/2014 04:25
31,71,136,177,86,10.26136529,56.24203279,08/08/2014 04:30
35,70,132,182,83,10.26136529,56.24203279,08/08/2014 04:35
36,73,137,185,87,10.26136529,56.24203279,08/08/2014 04:40
41,75,134,189,84,10.26136529,56.24203279,08/08/2014 04:45
38,80,131,185,82,10.26136529,56.24203279,08/08/2014 04:50
33,84,126,187,86,10.26136529,56.24203279,08/08/2014 04:55
36,89,125,182,87,10.26136529,56.24203279,08/08/2014 05:00
38,85,129,185,85,10.26136529,56.24203279,08/08/2014 05:05
35,87,128,184,89,10.26136529,56.24203279,08/08/2014 05:10
35,84,126,187,88,10.26136529,56.24203279,08/08/2014 05:15
39,83,123,182,88,10.26136529,56.24203279,08/08/2014 05:20
40,82,123,187,91,10.26136529,56.24203279,08/08/2014 05:25
35,86,120,188,94,10.26136529,56.24203279,08/08/2014 05:30
39,82,119,187,98,10.26136529,56.24203279,08/08/2014 05:35
43,78,123,189,95,10.26136529,56.24203279,08/08/2014 05:40
42,76,125,190,99,10.26136529,56.24203279,08/08/2014 05:45
38,79,129,188,100,10.26136529,56.24203279,08/08/2014 05:50
37,74,130,193,100,10.26136529,56.24203279,08/08/2014 05:55
40,69,128,194,101,10.26136529,56.24203279,08/08/2014 06:00
38,64,129,195,99,10.26136529,56.24203279,08/08/2014 06:05
42,63,124,193,98,10.26136529,56.24203279,08/08/2014 06:10
47,66,124,194,99,10.26136529,56.24203279,08/08/2014 06:15
52,66,122,197,96,10.26136529,56.24203279,08/08/2014 06:20
54,65,127,196,95,10.26136529,56.24203279,08/08/2014 06:25
58,61,129,193,96,10.26136529,56.24203279,08/08/2014 06:30
58,58,130,193,97,10.26136529,56.24203279,08/08/2014 06:35
60,60,133,194,94,10.26136529,56.24203279,08/08/2014 06:40
65,64,137,192,92,10.26136529,56.24203279,08/08/2014 06:45
60,61,132,197,89,10.26136529,56.24203279,08/08/2014 06:50
62,62,130,195,89,10.26136529,56.24203279,08/08/2014 06:55
57,63,125,192,91,10.26136529,56.24203279,08/08/2014 07:00
52,67,120,194,91,10.26136529,56.24203279,08/08/2014 07:05
51,66,125,198,94,10.26136529,56.24203279,08/08/2014 07:10
53,66,125,202,89,10.26136529,56.24203279,08/08/2014 07:15
48,70,122,199,92,10.26136529,56.24203279,08/08/2014 07:20
53,71,127,195,88,10.26136529,56.24203279,08/08/2014 07:25
56,73,125,196,85,10.26136529,56.24203279,08/08/2014 07:30
54,73,121,201,87,10.26136529,56.24203279,08/08/2014 07:35
50,74,124,196,88,10.26136529,56.24203279,08/08/2014 07:40
54,70,123,194,88,10.26136529,56.24203279,08/08/2014 07:45
52,72,122,191,86,10.26136529,56.24203279,08/08/2014 07:50
48,75,122,193,85,10.26136529,56.24203279,08/08/2014 07:55
53,75,118,189,86,10.26136529,56.24203279,08/08/2014 08:00
58,74,113,186,87,10.26136529,56.24203279,08/08/2014 08:05
55,71,118,191,91,10.26136529,56.24203279,08/08/2014 08:10
60,74,118,190,86,10.26136529,56.24203279,08/08/2014 08:15
62,78,121,193,84,10.26136529,56.24203279,08/08/2014 08:20
66,78,123,197,79,10.26136529,56.24203279,08/08/2014 08:25
63,82,120,196,75,10.26136529,56.24203279,08/08/2014 08:30
61,86,121,192,75,10.26136529,56.24203279,08/08/2014 08:35
56,82,125,189,80,10.26136529,56.24203279,08/08/2014 08:40
53,86,130,185,79,10.26136529,56.24203279,08/08/2014 08:45
58,85,125,189,81,10.26136529,56.24203279,08/08/2014 08:50
63,90,120,191,76,10.26136529,56.24203279,08/08/2014 08:55
62,85,122,187,79,10.26136529,56.24203279,08/08/2014 09:00
58,84,127,183,75,10.26136529,56.24203279,08/08/2014 09:05
61,79,126,186,80,10.26136529,56.24203279,08/08/2014 09:10
59,84,130,185,81,10.26136529,56.24203279,08/08/2014 09:15
63,83,130,188,84,10.26136529,56.24203279,08/08/2014 09:20
60,83,128,186,86,10.26136529,56.24203279,08/08/2014 09:25
57,85,126,181,84,10.26136529,56.24203279,08/08/2014 09:30
60,81,127,179,89,10.26136529,56.24203279,08/08/2014 09:35
65,85,123,179,88,10.26136529,56.24203279,08/08/2014 09:40
65,86,121,184,93,10.26136529,56.24203279,08/08/2014 09:45
64,81,123,179,98,10.26136529,56.24203279,08/08/2014 09:50
61,82,126,177,96,10.26136529,56.24203279,08/08/2014 09:55
61,85,121,179,91,10.26136529,56.24203279,08/08/2014 10:00
58,82,116,174,88,10.26136529,56.24203279,08/08/2014 10:05
58,82,117,178,88,10.26136529,56.24203279,08/08/2014 10:10
62,84,121,175,91,10.26136529,56.24203279,08/08/2014 10:15
67,84,122,171,88,10.26136529,56.24203279,08/08/2014 10:20
72,84,120,169,83,10.26136529,56.24203279,08/08/2014 10:25
74,87,118,168,86,10.26136529,56.24203279,08/08/2014 10:30
69,84,118,166,84,10.26136529,56.24203279,08/08/2014 10:35
68,82,121,170,89,10.26136529,56.24203279,08/08/2014 10:40
65,87,126,168,90,10.26136529,56.24203279,08/08/2014 10:45
63,86,123,169,85,10.26136529,56.24203279,08/08/2014 10:50
65,88,121,166,84,10.26136529,56.24203279,08/08/2014 10:55
68,93,116,164,83,10.26136529,56.24203279,08/08/2014 11:00
63,92,115,161,80,10.26136529,56.24203279,08/08/2014 11:05
67,93,113,162,85,10.26136529,56.24203279,08/08/2014 11:10
68,91,111,160,89,10.26136529,56.24203279,08/08/2014 11:15
65,92,110,156,91,10.26136529,56.24203279,08/08/2014 11:20
67,87,107,158,87,10.26136529,56.24203279,08/08/2014 11:25
63,83,103,158,92,10.26136529,56.24203279,08/08/2014 11:30
65,81,98,153,88,10.26136529,56.24203279,08/08/2014 11:35
70,76,101,158,85,10.26136529,56.24203279,08/08/2014 11:40
72,81,105,162,89,10.26136529,56.24203279,08/08/2014 11:45
68,79,101,162,91,10.26136529,56.24203279,08/08/2014 11:50
66,81,104,160,92,10.26136529,56.24203279,08/08/2014 11:55
66,81,109,157,96,10.26136529,56.24203279,08/08/2014 12:00
63,80,109,152,100,10.26136529,56.24203279,08/08/2014 12:05
58,79,110,149,97,10.26136529,56.24203279,08/08/2014 12:10
61,74,115,147,100,10.26136529,56.24203279,08/08/2014 12:15
65,76,111,147,99,10.26136529,56.24203279,08/08/2014 12:20
68,77,107,148,95,10.26136529,56.24203279,08/08/2014 12:25
63,77,107,152,95,10.26136529,56.24203279,08/08/2014 12:30
68,80,106,153,100,10.26136529,56.24203279,08/08/2014 12:35
73,81,104,151,105,10.26136529,56.24203279,08/08/2014 12:40
68,79,107,148,105,10.26136529,56.24203279,08/08/2014 12:45
69,76,109,144,110,10.26136529,56.24203279,08/08/2014 12:50
66,75,112,142,109,10.26136529,56.24203279,08/08/2014 12:55
69,75,112,143,106,10.26136529,56.24203279,08/08/2014 13:00
65,77,115,147,101,10.26136529,56.24203279,08/08/2014 13:05
68,81,112,144,96,10.26136529,56.24203279,08/08/2014 13:10
69,81,116,149,96,10.26136529,56.24203279,08/08/2014 13:15
67,85,117,146,96,10.26136529,56.24203279,08/08/2014 13:20
67,84,113,150,94,10.26136529,56.24203279,08/08/2014 13:25
63,79,113,150,92,10.26136529,56.24203279,08/08/2014 13:30
64,75,110,145,93,10.26136529,56.24203279,08/08/2014 13:35
68,73,108,140,92,10.26136529,56.24203279,08/08/2014 13:40
65,72,107,137,91,10.26136529,56.24203279,08/08/2014 13:45
62,73,103,142,88,10.26136529,56.24203279,08/08/2014 13:50
65,78,99,145,88,10.26136529,56.24203279,08/08/2014 13:55
65,75,102,145,85,10.26136529,56.24203279,08/08/2014 14:00
67,71,105,146,87,10.26136529,56.24203279,08/08/2014 14:05
68,70,106,144,89,10.26136529,56.24203279,08/08/2014 14:10
63,73,104,139,94,10.26136529,56.24203279,08/08/2014 14:15
64,78,109,140,96,10.26136529,56.24203279,08/08/2014 14:20
65,75,113,142,94,10.26136529,56.24203279,08/08/2014 14:25
66,78,110,139,96,10.26136529,56.24203279,08/08/2014 14:30
63,74,111,136,94,10.26136529,56.24203279,08/08/2014 14:35
66,73,108,133,98,10.26136529,56.24203279,08/08/2014 14:40
65,73,103,131,101,10.26136529,56.24203279,08/08/2014 14:45
62,77,106,128,97,10.26136529,56.24203279,08/08/2014 14:50
57,73,106,127,95,10.26136529,56.24203279,08/08/2014 14:55
54,68,104,123,96,10.26136529,56.24203279,08/08/2014 15:00
55,63,109,123,95,10.26136529,56.24203279,08/08/2014 15:05
51,67,114,120,93,10.26136529,56.24203279,08/08/2014 15:10
52,67,115,117,91,10.26136529,56.24203279,08/08/2014 15:15
53,65,120,115,92,10.26136529,56.24203279,08/08/2014 15:20
57,69,119,114,97,10.26136529,56.24203279,08/08/2014 15:25
55,73,116,111,100,10.26136529,56.24203279,08/08/2014 15:30
56,78,120,111,98,10.26136529,56.24203279,08/08/2014 15:35
59,82,120,106,93,10.26136529,56.24203279,08/08/2014 15:40
64,85,122,105,94,10.26136529,56.24203279,08/08/2014 15:45
63,83,119,104,97,10.26136529,56.24203279,08/08/2014 15:50
61,83,120,109,93,10.26136529,56.24203279,08/08/2014 15:55
66,81,120,114,95,10.26136529,56.24203279,08/08/2014 16:00
62,79,119,115,95,10.26136529,56.24203279,08/08/2014 16:05
62,75,123,111,94,10.26136529,56.24203279,08/08/2014 16:10
66,77,124,111,94,10.26136529,56.24203279,08/08/2014 16:15
64,81,123,110,97,10.26136529,56.24203279,08/08/2014 16:20
61,80,118,105,100,10.26136529,56.24203279,08/08/2014 16:25
61,75,113,102,104,10.26136529,56.24203279,08/08/2014 16:30
61,71,113,103,107,10.26136529,56.24203279,08/08/2014 16:35
56,71,118,104,112,10.26136529,56.24203279,08/08/2014 16:40
58,69,113,106,115,10.26136529,56.24203279,08/08/2014 16:45
54,66,116,110,117,10.26136529,56.24203279,08/08/2014 16:50
55,65,116,115,115,10.26136529,56.24203279,08/08/2014 16:55
54,70,111,115,119,10.26136529,56.24203279,08/08/2014 17:00
53,73,115,118,116,10.26136529,56.24203279,08/08/2014 17:05
56,74,115,119,113,10.26136529,56.24203279,08/08/2014 17:10
59,71,119,119,115,10.26136529,56.24203279,08/08/2014 17:15
60,72,115,121,112,10.26136529,56.24203279,08/08/2014 17:20
60,70,115,119,117,10.26136529,56.24203279,08/08/2014 17:25
56,67,115,115,122,10.26136529,56.24203279,08/08/2014 17:30
58,63,112,114,119,10.26136529,56.24203279,08/08/2014 17:35
58,58,116,118,118,10.26136529,56.24203279,08/08/2014 17:40
58,61,117,122,120,10.26136529,56.24203279,08/08/2014 17:45
54,60,119,122,123,10.26136529,56.24203279,08/08/2014 17:50
53,59,120,117,125,10.26136529,56.24203279,08/08/2014 17:55
51,60,115,116,127,10.26136529,56.24203279,08/08/2014 18:00
